Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,455.899994,484.200012,448.000000,465.850006,464.402618,134165992
2017-04-01,468.250000,480.549988,437.600006,458.899994,457.474182,105624063
2017-05-01,458.899994,488.250000,417.250000,476.149994,474.670593,152316124
2017-06-01,476.950012,485.950012,428.049988,432.549988,431.206055,113984752
2017-07-01,431.500000,468.350006,426.000000,444.600006,443.218628,105794675
2017-08-01,446.549988,452.350006,358.500000,376.549988,375.380035,153203697
2017-09-01,379.350006,427.700012,374.049988,401.500000,400.252533,172230315
2017-10-01,401.500000,440.950012,401.500000,428.399994,427.068939,115680473
2017-11-01,430.950012,468.000000,402.250000,404.149994,402.894287,247198902
2017-12-01,407.899994,433.450012,389.299988,431.850006,430.508240,135153789
2018-01-01,430.950012,443.500000,395.000000,399.500000,398.258759,170430791
2018-02-01,399.899994,403.799988,356.500000,369.899994,368.750702,181509302
2018-03-01,369.750000,376.299988,324.299988,326.850006,325.834473,161929567
2018-04-01,335.000000,372.350006,326.000000,340.399994,339.342377,242721771
2018-05-01,340.399994,351.649994,281.600006,282.500000,281.622284,307237590
2018-06-01,284.500000,315.549988,261.850006,269.299988,268.463257,286077793
2018-07-01,276.000000,277.000000,247.300003,264.100006,263.279449,225617657
2018-08-01,250.000000,274.700012,243.100006,267.500000,266.668884,308332043
2018-09-01,271.399994,282.000000,219.500000,223.699997,223.004959,255084345
2018-10-01,225.000000,232.800003,164.600006,179.100006,178.543533,434206704
2018-11-01,182.000000,200.750000,170.350006,171.949997,171.415741,340509498
2018-12-01,173.250000,180.500000,154.649994,172.699997,172.163422,293362919
2019-01-01,173.500000,198.300003,165.100006,181.199997,180.637009,305923540
2019-02-01,182.000000,186.100006,129.000000,177.449997,176.898651,413626349
2019-03-01,178.649994,198.350006,167.550003,174.250000,173.708603,348311811
2019-04-01,176.350006,239.350006,176.350006,214.300003,213.634171,804239367
2019-05-01,214.300003,214.300003,167.399994,172.600006,172.063736,581853469
2019-06-01,170.500000,177.199997,152.149994,162.550003,162.044952,332449335
2019-07-01,163.699997,172.350006,132.500000,135.600006,135.178696,590085233
2019-08-01,135.500000,136.300003,106.199997,116.699997,116.337410,890852844
2019-09-01,116.699997,138.399994,106.000000,117.449997,117.085075,1091861149
2019-10-01,118.000000,179.649994,112.650002,177.699997,177.147888,1168104851
2019-11-01,175.199997,178.899994,159.899994,161.500000,160.998215,554109570
2019-12-01,160.949997,187.899994,157.399994,185.149994,184.574738,812751608
2020-01-01,185.149994,201.699997,174.899994,176.600006,176.051315,886712613
2020-02-01,175.399994,184.949997,127.050003,128.949997,128.549347,1055369812
2020-03-01,133.000000,133.899994,63.500000,71.050003,70.829247,1625401538
2020-04-01,70.500000,93.750000,64.800003,93.250000,92.960274,1172889811
2020-05-01,93.250000,93.250000,79.599998,87.000000,86.729691,1137152288
2020-06-01,88.900002,119.150002,88.000000,98.250000,97.944733,2061553847
2020-07-01,99.000000,112.599998,98.199997,104.650002,104.324852,1236331449
2020-08-01,103.000000,147.949997,102.900002,143.199997,142.755066,1866004733
2020-09-01,143.399994,155.199997,122.150002,133.300003,132.885834,1583849546
2020-10-01,135.899994,145.800003,126.000000,132.649994,132.237854,1287524170
2020-11-01,133.649994,183.850006,131.100006,180.350006,179.789658,1284628508
2020-12-01,182.350006,188.800003,156.699997,183.850006,183.278778,1191039967
2021-01-01,184.949997,306.899994,184.500000,262.700012,261.883789,3110819324
2021-02-01,269.750000,341.899994,255.350006,322.950012,321.946594,2011804897
2021-03-01,330.000000,357.000000,282.250000,301.799988,300.862305,1453844779
2021-04-01,306.750000,325.000000,280.549988,293.850006,292.937012,1147880867
2021-05-01,289.299988,336.649994,285.000000,318.750000,317.759644,1050745318
2021-06-01,319.200012,360.750000,315.600006,339.600006,338.544861,709228073
2021-07-01,341.500000,358.200012,283.600006,293.950012,293.036713,916621826
2021-08-01,299.149994,311.500000,268.450012,287.299988,286.407349,504374201
2021-09-01,289.000000,337.899994,287.299988,333.350006,332.314270,547130332
2021-10-01,332.649994,530.000000,325.700012,483.700012,482.197144,1344147576
2021-11-01,486.450012,536.700012,443.100006,458.600006,457.175140,676681297
2021-12-01,467.850006,506.399994,440.000000,482.399994,480.901184,433230539
2022-01-01,493.500000,528.500000,467.649994,517.750000,516.141357,431279282
2022-02-01,508.000000,514.750000,405.450012,454.049988,452.639252,492777210
2022-03-01,454.049988,458.500000,376.350006,433.750000,432.402344,670781175
2022-04-01,434.000000,462.700012,417.000000,437.600006,436.240387,335633541
2022-05-01,437.950012,449.500000,366.200012,443.549988,442.171875,471123560
2022-06-01,445.100006,446.000000,376.649994,411.799988,410.520508,341676264
2022-07-01,410.649994,460.750000,402.299988,449.600006,448.203094,313104937
2022-08-01,451.950012,494.399994,447.600006,471.100006,469.636292,316991103
2022-09-01,462.500000,474.399994,390.350006,404.600006,403.342896,344727174
